API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Aug 23 14:44:05 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: International Space Station (spacecraft) (-125544) {source: iss}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Aug-24 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Aug-27 00:00:00.0000 TDB
Step-size       : 2 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260821.p261117
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-21. PREDICTS-> 2026-NOV-16
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461276.586111111, A.D. 2026-Aug-24 02:04:00.0000, -6.026328668807439E+03,  2.054045916616859E+03, -2.394777164727100E+03,  2.584138303243751E-01, -5.459588633871978E+00, -5.357753446262414E+00,
2461276.587500000, A.D. 2026-Aug-24 02:06:00.0000, -5.940535372945866E+03,  1.382182152740425E+03, -3.013878801965972E+03,  1.169162150897352E+00, -5.721112754894259E+00, -4.944945561120173E+00,
2461276.588888889, A.D. 2026-Aug-24 02:08:00.0000, -5.746616296770649E+03,  6.851590674458866E+02, -3.577968383482228E+03,  2.057784208299426E+00, -5.878308459627355E+00, -4.442306438053352E+00,
2461276.590277778, A.D. 2026-Aug-24 02:10:00.0000, -5.448197854436992E+03, -2.432514243415354E+01, -4.076809799029338E+03,  2.908197277156556E+00, -5.928516042260407E+00, -3.859147986074412E+00,
2461276.591666667, A.D. 2026-Aug-24 02:12:00.0000, -5.050793044225092E+03, -7.333692960551533E+02, -4.501370690075976E+03,  3.705086024986604E+00, -5.871013357765866E+00, -3.206188255753414E+00,
2461276.593055556, A.D. 2026-Aug-24 02:14:00.0000, -4.561693535775165E+03, -1.429101364708898E+03, -4.843978959472092E+03,  4.434162295737942E+00, -5.707004304413823E+00, -2.495344833370212E+00,
2461276.594444444, A.D. 2026-Aug-24 02:16:00.0000, -3.989832123459309E+03, -2.098907308577199E+03, -5.098453667908498E+03,  5.082398943017457E+00, -5.439575802248827E+00, -1.739515373731575E+00,
2461276.595833333, A.D. 2026-Aug-24 02:18:00.0000, -3.345618728430759E+03, -2.730653060127731E+03, -5.260209056857939E+03,  5.638236750529146E+00, -5.073627042627865E+00, -9.523498737138547E-01,
2461276.597222222, A.D. 2026-Aug-24 02:20:00.0000, -2.640753175571883E+03, -3.312896535010779E+03, -5.326330921490135E+03,  6.091764604691090E+00, -4.615774451076284E+00, -1.480181070448712E-01,
2461276.598611111, A.D. 2026-Aug-24 02:22:00.0000, -1.888017912789745E+03, -3.835086923031242E+03, -5.295624898308402E+03,  6.434873653854983E+00, -4.074235085476777E+00,  6.590255219395298E-01,
2461276.600000000, A.D. 2026-Aug-24 02:24:00.0000, -1.101053748913052E+03, -4.287748783929484E+03, -5.168636444960898E+03,  6.661386172165491E+00, -3.458690263588481E+00,  1.454278385711491E+00,
2461276.601388889, A.D. 2026-Aug-24 02:26:00.0000, -2.941216287397164E+02, -4.662648633225950E+03, -4.947642410952888E+03,  6.767159311964591E+00, -2.780130284419762E+00,  2.223426533386929E+00,
2461276.602777778, A.D. 2026-Aug-24 02:28:00.0000,  5.181465051538540E+02, -4.952941762522194E+03, -4.636614181009240E+03,  6.750163026706653E+00, -2.050680381542495E+00,  2.952581380499123E+00,
2461276.604166667, A.D. 2026-Aug-24 02:30:00.0000,  1.321004564618876E+03, -5.153297031952477E+03, -4.241152478104568E+03,  6.610530388862206E+00, -1.283407690885592E+00,  3.628515055068629E+00,
2461276.605555556, A.D. 2026-Aug-24 02:32:00.0000,  2.099853409445638E+03, -5.259997350170834E+03, -3.768394097549480E+03,  6.350577552760413E+00, -4.921091402678325E-01,  4.238892405983485E+00,
2461276.606944445, A.D. 2026-Aug-24 02:34:00.0000,  2.840502337117399E+03, -5.271013579862951E+03, -3.226891150572529E+03,  5.974789952074770E+00,  3.089191967692321E-01,  4.772496534701911E+00,
2461276.608333333, A.D. 2026-Aug-24 02:36:00.0000,  3.529426701752520E+03, -5.186049733065688E+03, -2.626463847851480E+03,  5.489771162682501E+00,  1.105129647490012E+00,  5.219443478072751E+00,
2461276.609722222, A.D. 2026-Aug-24 02:38:00.0000,  4.154016990808907E+03, -5.006557598528689E+03, -1.978028447100345E+03,  4.904151317811334E+00,  1.881984332146444E+00,  5.571380568706847E+00,
